Requirement Text,Type
The user shall be able to enter data using a cell phone keypad layout.,NFR
Users shall be able to configure settings both locally on the device and remotely. ,NFR
The system shall provide selection menus to minimize the need for manual typing of options.,NFR
Application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power.,NFR
The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,NFR
"The only hazard is a user using the device when they should not be, such as while driving.",NFR
Secure connection to an internal system shall be required for user login and identification.,NFR
"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the user’s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.",NFR
"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours).",NFR
Users shall be able to trust and understand the system through its simplicity and transparency.,NFR
The system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy.,NFR
The system shall employ encryption for all privacy-sensitive data at rest to ensure both security and basic functionality.,NFR
The system shall allow users to create unverified (anonymous) avatars or aliases.,NFR
"The system shall empower end-users to manage their private data, including the option to delete their personal repository.",NFR
"The system shall be multilingual, supporting English, Turkish, Finnish, and Italian for international deployment.",NFR
The system shall support the display of all user interface text elements in both English and Dutch.,NFR
The system shall allow qualified programmers to extend functionality through adding sub-apps and launchers.,NFR
The system shall allow authorized users to delete sub-apps and their launchers within the main application.,NFR
"The system shall allow application maintainers to configure information sources for sub-applications like agenda, news, Facebook, and Twitter.",NFR
"For non-programmers, the system shall allow customization of the application's visual style (colors and icons) for easy maintenance.",NFR
"The application shall be extensible, allowing skilled Java Android programmers to add new sub-applications with launchers to the main interface.",NFR
Radford University students shall use their RU credentials to access automatic class schedule and assignment sharing.,NFR
"The system shall operate primarily offline, with networked authentication components functioning only when Radford University's systems are available.",NFR
The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.,NFR
Users will be able to access this application on or off campus anytime on their mobile device without the need of an internet connection.,NFR
The system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities.,NFR
"The system shall function as a reusable semester-to-semester application for returning students, offering automatic class schedule updates and integration with the Radford University mobile app.",NFR
The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR
The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,NFR
The overall accuracy shall be calculated by dividing total number of correct answers by the number of questions asked.,NFR
The accuracy of the Generic Question Construction​ part will be close to 80%.,NFR
The accuracy of the Generic Answer Construction​ unit will be close to 70%.,NFR
The accuracy of the Generic Answer Population​ unit will be close to 70%.,NFR
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds.",NFR
"The connection between the Web API and the programs will use HTTPS, for security.",NFR
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NFR
The FAU class ensures security-relevant events are logged and identifies what information should be included in those logs.,NFR
"The system shall be designed for high performance with optimized server queries, instantaneous screen transitions, and sub-second cost-division computation.",NFR
"SplitPay will prioritize user safety by ensuring it doesn't interfere with other apps or data, and in the future, the application will warn users against using it when focus is critical. ",NFR
The system shall prioritize convenience over robust user authentication by relying solely on Google email verification in the future. ,NFR
"SplitPay's user interface will prioritize usability and clarity, featuring a visually-appealing design and leveraging informative notifications and pop-ups to guide users in the future.",NFR
"The system will prioritize error-free expense splitting calculations while offering full app functionality offline, caching financial data until reconnected.",NFR
All text elements in the user interfaces shall be presented in the selected language.,FR
The system shall support the English language.,FR
The system shall support Dutch as a user interface language.,FR
Sub-apps and their launchers shall be added to the main app by a qualified programmer.,FR
Sub-apps and their launchers in the main app shall be deleted by a qualified programmer.,FR
"System shall be able to change the colors used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the fonts used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the icons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the buttons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the background used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the text elements used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
The system shall restrict language selection to the main application.,FR
The default language of insErtion will be English.,FR
The system shall display a launcher to the Map-app version 3.1.3 on the main menu.,FR
The system shall display a launcher to the News-app version 3.1.4 on the main menu.,FR
The system shall display a launcher to the Agenda-app version 3.1.5 on the main menu.,FR
The system shall display a launcher to the Facebook-app version 3.1.9 on the main menu.,FR
The system shall display a launcher to the Twitter-app version 3.1.10 on the main menu.,FR
The system shall display a launcher to the Employee-finder-app version 3.1.6 on the main menu.,FR
"The system shall conditionally display a launcher to the Encyclopedia-app on the main menu, only when the Dutch language is selected.",FR
"The system shall conditionally display a launcher to the Student handbook-app on the main menu, only when the Dutch language is selected.",FR
The system shall be able to like insApption from the main menu.,FR
The system shall be able to tweet about insApption from the main menu.,FR
The system shall provide a link to the Twitter settings menu.,FR
The system shall provide a link to the Facebook settings menu.,FR
"In the Twitter settings menu, the user shall be able to save their username and password for Twitter.",FR
"In the Facebook settings menu, the user shall be able to save their username and password for Facebook.",FR
"In the Twitter settings menu, the system shall allow the user to delete their saved username and password for Twitter.",FR
"In the Facebook settings menu, the system shall allow the user to delete their saved username and password for Facebook.",FR
System shall be able to modify the appearance of the separate launchers.,FR
System shall be able to search for a certain building on the campus of the TU/e by name.,FR
System shall be able to search for a certain building on the campus of the TU/e by address.,FR
System shall be able to search for a certain POI on the campus of the TU/e by name.,FR
System shall be able to display a set of buildings that match the search input for queries described in requirements UCR201 and UCA202.,FR
System shall be able to display a set of POI's that match the search input when a user performs a search by name.,FR
"System shall be able to display an element from the search result (buildings or POIs) in the map view, following requirements UCAR201, UCAR202, and UCAR203.",FR
System shall be able to navigate between buildings on the campus.,FR
System shall be able to navigate from a building to a POI on the campus.,FR
System shall be able to navigate from a POI to a building on the campus.,FR
System shall be able to navigate between POIs on the campus.,FR
"System shall be able to navigate from a POI to another location on the campus (which could be a building, street, etc.).",FR
System shall be able to navigate from a street on the campus to another location on the campus.,FR
System shall be able to switch between different means of transportation while navigating.,FR
System shall be able to search for the from-location by the name of a building.,FR
System shall be able to search for the from-location by the address of a building.,FR
System shall be able to search for the from-location by the name of a POI.,FR
System shall allow selecting the from-location from the search results obtained based on requirements UCAR211 and UCAR212 (presumably for building and POI searches).,FR
System shall be able to allow selecting the from-location on the map.,FR
System shall be able to search for the to-location by the name of a building.,FR
System shall be able to search for the to-location by the address of a building.,FR
System shall be able to search for the to-location by the name of a POI.,FR
System shall allow selecting the to-location from the search results obtained based on requirements UCAR215 and UCAR216 (presumably for building and POI searches).,FR
System shall be able to allow selecting the to-location on the map.,FR
System shall be able to show the route planned by the navigator in the map view.,FR
System shall display a stylistic map view in the application.,FR
System shall display a satellite map view in the application.,FR
System shall be able to allow users to switch between the stylistic and satellite map views.,FR
System shall be able to allow users to zoom in and out of the map view.,FR
System shall be able to allow users to pan around the map view.,FR
System shall: Show the user's current location on the map view.,FR
System shall be able to indicate POIs of a building.,FR
System shall be able to allow users to tweet their current location.,FR
System shall be able to allow users to change their Facebook status to include their current location.,FR
Administrators shall be able to change the stylistic map.,FR
Administrators shall be able to add buildings.,FR
Administrators shall be able to remove buildings.,FR
Administrators shall be able to add vertices to paths used in the route planner.,FR
Administrators shall be able to remove vertices from paths used in the route planner.,FR
Administrators shall be able to remove edges from paths used in the route planner.,FR
Administrators shall be able to add edges to paths used in the route planner.,FR
"Administrators shall be able to add POIs associated with a specific building, floor, and room number.",FR
"Administrators shall be able to remove POIs associated with a specific building, floor, and room number.",FR
"Administrators shall be able to link a POI to a specific building, floor, and room number.",FR
"Administrators shall be able to unlink a POI from a specific building, floor, and room number.",FR
System shall show titles of all news items available through the news RSS feeds on the title screen.,FR
System shall show the first lines of news articles based on the titles on the title screen.,FR
System shall display the full news report after a user chooses the corresponding news title.,FR
User shall be able to like a certain news item.,FR
User shall be able to tweet a certain news item.,FR
Administrators shall be able to modify the list of English news RSS feeds.,FR
Administrators shall be able to modify the list of Dutch news RSS feeds.,FR
System shall show upcoming events on the title screen when the agenda app is started.,FR
System shall provide a calendar view.,FR
User shall be able to open calendar view.,FR
User shall be able to close calendar view.,FR
User shall be able to change the calendar to a different month.,FR
User shall be able to see on which days events take place in calendar view.,FR
System shall be able to indicate the current day on the calendar.,FR
System shall be able to show events for a selected day in the calendar.,FR
User shall be able to search for events by date.,FR
User shall be able to search for events by subject.,FR
System shall display a set of events that match the search input by date or subject (as described in requirements UCAR406 and UCAR407).,FR
User shall be able to like a certain event.,FR
User shall be able to tweet a certain event.,FR
System shall extract only events available in the agenda app from the agenda RSS feeds in the selected language.,FR
Administrators shall be able to modify the list of agenda RSS feeds available in English.,FR
Administrators shall be able to modify the list of agenda RSS feeds available in Dutch.,FR
User shall be able to search for a person by name.,FR
User shall be able to search for a person by department.,FR
System shall be able to display a set of employees that match the search input when a user performs a search by name (as described in requirements UCAR501 and UCAR502).,FR
System shall be able to allow users to view all personal information available through the employee pages for a selected person from the search results obtained through requirement UCAR503.,FR
System shall be able to show the location of a selected employee's office on the map view.,FR
System shall be able to plan a route to the location of a selected employee's office.,FR
System shall be able to display the most searched items on the title screen when the Encyclopedia app is launched.,FR
System shall be able to display the most recent items on the title screen when the Encyclopedia app is launched.,FR
User shall be able to search the book by a certain word or phrase. ,FR
User shall be able to see a displayed set of topics when performing a search as described in requirement UCAR602.,FR
User shall be able to select a topic from the search result list.,FR
User shall be able to view the full text regarding a topic by clicking on it.,FR
User shall be able to like a certain topic.,FR
User shall be able to tweet a certain topic.,FR
User shall be able to see the most searched items on the title screen when starting the student handbook app.,FR
User shall be able to select a topic from the search results obtained through a search described in requirement UCAR702. ,FR
User shall be able to view the full text regarding a topic by clicking on it.,FR
User shall be able to like a certain topic. ,FR
User shall be able to tweet a certain topic. ,FR
User shall be able to see the TU/e Facebook page on the title screen when starting the Facebook app.,FR
User shall be able to select other TU/e related Facebook sites from a list. ,FR
System shall show the TU/e Facebook page on the title screen when the Facebook app is started.,FR
System shall allow users to select other TU/e related Facebook sites from a list upon starting the Facebook app.,FR
Administrators shall be able to modify the list of TU/e related Facebook sites.,FR
System shall show the TU/e Twitter page on the title screen when the Twitter app is started.,FR
System shall allow users to select other TU/e related Twitter sites from a list upon starting the Twitter app (content of the list is defined in requirement UCAR903).,FR
Administrators shall be able to modify the list of TU/e related Twitter sites.,FR
Users shall be able to download the mobile application for free through an application store or similar service on the mobile phone.,FR
Users shall be able to check for new software releases and download them manually through the mobile phone.,FR
"Users shall be able to register on the mobile application by providing a username, password, and email address, with the option to provide a phone number.",FR
Users shall be able to log in to the mobile application with credentials stored on the phone for automatic future login.,FR
User shall be able to retrieve their password by email if they forget it.,FR
"Users shall be able to search for restaurants on the mobile application using various options including price, destination, restaurant type, specific dish, and free text with the ability to combine multiple options in a single search.",FR
"Users shall be able to view search results on a map with a maximum of 100 restaurants displayed, including pins with information links, a default zoom level, and a button to access filtering options.",FR
"Users shall be able to view search results in a list containing details like restaurant name, contact information, distance, price, description, links, and sort/filter the results by various criteria.",FR
"User shall be able to select a restaurant from the map or list and navigate there using the phone's GPS, then return to the search page upon arrival.",FR
Users shall be able to switch between a map view and a list view for all search options.,FR
"Users shall be able to view a detailed restaurant information page including picture, name, contact details, food type, price range, description, and menu by selecting the information link on search results.",FR
User shall be able to search for restaurants by price range (minimum and maximum) with results displayed in a list view by default.,FR
User shall be able to search for restaurants by entering a desired distance range (minimum and maximum) from their current location.,FR
"The user shall be able to search by price and destination, entering integers for their desired values, and be informed if they enter an invalid input.",FR
The user shall be able to choose a restaurant type from a list and see the results on a map.,FR
The user shall be able to choose a dish from a list and see results on a map.,FR
"The user shall be able to search for restaurants by any criteria (name, description, address, type, or menu) in a free-text field, with results shown on a map.",FR
The user shall be able to refine their search directly on the same page if their initial search yields no results.,FR
Users shall be able to sort search results by various criteria with ascending or descending order.,FR
"The user shall be able to filter search results by distance, price, restaurant type, and specific dish.",FR
"The user shall be able to edit their profile information and choose the app language (Swedish, English, Spanish, French) on the profile page.",FR
"User shall be able to register and apply for verification on the web portal by providing username, password, address, email address, and phone number.",FR
User (restaurant owner) shall be able to apply for verification after registering on the web portal.,FR
Users shall be able to log in only after receiving a confirmation email following verification of their restaurant owner application.,FR
User shall be able to log in as a restaurant owner upon successful authentication.,FR
User shall be able to reset their password by entering their email address and receiving a password reset link.,FR
The user shall be able to manage information through a web form.,FR
"The user shall be able to complete mandatory registration by providing restaurant name, address, phone number, email address, and average price.",FR
"A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number to enhance their listing.",FR
"The user shall be able to create a menu entry by providing a dish name, description, and price.",FR
"User shall be able to add restaurant information upon submitting the form, provided all mandatory fields are completed.",FR
User shall be able to add restaurant information by completing mandatory fields and optionally adding additional details.,FR
The user shall be able to delete information from their restaurant listing.,FR
The system shall allow authenticated restaurant owners to edit existing restaurant information.,FR
"The system shall be able to display content in the user's preferred language, allowing the restaurant owner to switch to English and view all text in English.",FR
The system shall be able to display content in the user's preferred language upon selection.,FR
The system shall allow the restaurant owner to select French as the preferred language for the web portal interface.,FR
The system shall be able to display content in the user's preferred language upon selection.,FR
The system shall allow administrators to log in with their accounts and grant them administrative privileges.,FR
"The system shall allow administrators to verify restaurant owners, granting them login access and sending confirmation emails.",FR
"The system shall allow administrators to reject restaurant owners, disabling their login and sending a rejection email.",FR
The system shall allow administrators to add new restaurant types.,FR
"The system shall allow administrators to edit restaurant types, updating the list accordingly.",FR
"The system shall allow administrators to delete restaurant types, removing them from the list.",FR
The system shall be able to add a new dish to the list upon creation by an administrator.,FR
The system shall be able to update an existing dish in the list upon edit by an administrator.,FR
The system shall allow administrators to permanently remove dishes from the list.,FR
The system shall be able to add restaurant information upon administrator login.,FR
The system shall be able to delete restaurant information upon administrator confirmation.,FR
The system shall allow administrators to edit existing restaurant information.,FR
The system shall be able to update user information when an administrator edits an existing user profile.,FR
The system shall allow administrators to delete existing user accounts.,FR
The system shall be able to add a new restaurant owner upon creation by an administrator.,FR
The system shall allow administrators to update restaurant owner information.,FR
"The system shall be able to delete a restaurant owner upon administrator confirmation, also removing all associated restaurant information.",FR
The system shall display all text in English when the administrator selects English as the preferred language.,FR
The system shall be able to display the web-portal in Swedish upon administrator selection.,FR
The user shall be able to select French as their preferred language for the web portal.,FR
The user shall be able to change the web-portals language to Spanish.,FR
The system shall display a search bar prominently to enable users to easily find the information they need.,FR
"The system shall present search options in a clear, understandable way.",FR
"The system shall display user-friendly, one-click selectable results in the list view.",FR
The system shall display user-friendly map view results requiring a single click to select a pin.,FR
"The system shall ensure the information link is clearly visible, clickable in one action, and functions as a link.",FR
The user shall be able to create an account by providing credentials and activating it via email.,FR
The user shall be able to log in to the system by entering their username or email and password.,FR
User shall be able to log out of the system.,FR
"Users shall be able to search for items by filtering by price, location, and category.",FR
"Users shall be able to browse profiles of other users, including usernames, profile photos, and their items.",FR
The user shall be able to browse categories and see the item count for each.,FR
"User shall be able to browse items including pictures, prices, and other features.",FR
"User shall be able to change profile information including username, email address, profile picture, and password.",FR
User shall be able to confirm username and password changes through email notification.,FR
User shall be able to purchase credits using credit card or PayPal account.,FR
"The user shall be able to purchase items in their cart using credits, if allowed by the item.",FR
"The user shall be able to request an exchange for an item they want, if the item they have is eligible for exchange.",FR
The user shall be able to approve an exchange offer from another user.,FR
The user shall be able to decline an exchange offer from another user.,FR
The user shall be able to notify the recipient that their item has been shipped.,FR
"Users shall be able to freely add items with details, price, amount, and pictures.",FR
"The user shall be able to edit their existing items, including adding/removing pictures and changing price and details.",FR
The user shall be able to remove an item they no longer wish to sell/exchange by tapping the Remove the item button.,FR
Users can permanently delete their accounts and access to the system.,FR
The user shall be able to mark an item as a favorite for change notifications.,FR
Users shall be able to provide ratings and comments about their trading partners.,FR
The system shall accept GET requests with a question in a single URL parameter and a Content-Type header of application/json.,FR
"System shall be able to respond to API queries with either JSON data or error messages, using appropriate response codes and headers.",FR
"The system shall return a JSON response containing either successful data or error messages, but not both.",FR
The system shall be able to anonymize text by replacing identified keywords with generic terms and provide a mapping between them.,FR
The system shall be able to maintain a list of generic words associated with potential user queries.,FR
"The system shall return a user-friendly message like Sorry, I didn't understand that when it encounters an error parsing the input.",FR
"The system shall be able to condense the output sentence from the Generic Question Construction unit (R4.2.1.3) into a single, concise sentence.",FR
"This system will convert an input question about a specific entity and property (e.g., building closing time) into a generic answer sentence (e.g., building closes at specific time).",FR
The system shall be able to handle generic sentence failures by falling back to error handling in R4.4.2.1.,FR
The system shall be able to process a mapping received from the Generic Question Construction unit.,FR
"The system shall be able to condense a generic answer from the Generic Answer Construction unit into a single, concise sentence.",FR
The system shall be able to retrieve data about mapped elements from the database.,FR
The system shall be able to personalize generic responses by inserting specific data.,FR
The system shall be able to personalize generic responses by inserting specific data.,FR
"If the database has no closing time for Rush Building, the system will inform the user and provide the Drexel University website for further information.",FR
The system shall be able to provide a generic error message when no relevant website is found.,FR
A MySQL database will be used to store all information required to answer questions.,FR
The system shall be able to populate the database with extracted information prior to full system initialization.,FR
The database will use the generic representations from R4.2.2.1 as table names or column headers for easier retrieval of data.,FR
The database will be updated periodically and the API will be unavailable during the update.,FR
Structural data sources will have their data stored in our database,FR
"For data with enough structuring, web scraping will be used to programmatically extract all the data needed and store it in our database.",FR
"For totally unstructured information, AI libraries will be used to programmatically extract and store any information possible",FR
"Data that is especially hard to extract, for whatever reason, will be manually extracted and added to the database by a developer.",FR
The GUI will have a textbox that will accept inputs from a keyboard.,FR
"Text box will originally contain a suggestive text question, to guide the user to the format of an appropriate question. ",FR
The GUI will have a “Send” button which sends text from the textbox to the API when clicked,FR
The GUI will have a chat window displaying questions sent to the system and responses from the API.,FR
"The chat window will contain all questions and answers from the current session, with a scroll bar if all messages can’t fit on the screen.",FR
"If there is a network issue, the chat window will display an error message.",FR
There will be a designated phone number that users can send texts to. ​,FR
"Texts sent to that number will be sent to the API, then the system will reply to the user with the answer as another text message.",FR
"If a question is not understood by our API, the system will send a text containing an example question after the text with the API response.",FR
The feature of the application shall provide the optimized route for the given addresses,FR
"The system shall be able to find the best route for multiple addresses, including fixing any gaps between them.",FR
"While a fast internet connection is optional, the system shall be designed to perform optimally with a fast connection.",NFR
The system shall be able to dynamically load new maps in response to each user request.,FR
The system shall ensure compliance with Google Maps API terms of use by adhering to Google's policies.,NFR
After installing the Application from iTunes or the App store the user will be asked to login.,FR
The user shall be able to select a catalogue from Spring 2013 or Winter 2013.,FR
"The user will be able to browse a variety of clothing categories, including outerwear, activewear, and eco-friendly options.",FR
Users shall be able to select product thumbnail images after choosing a category.,FR
The user shall be able to select a product and view its details.,FR
The system shall display a detailed product page with all the information and features found on the main website.,FR
The user shall be able to choose between contacting a representative for an order or completing the checkout process online.,FR
After installing the Application from iTunes or the App store the user will be asked to login.,FR
The user shall be able to browse the catalogue or use the search function upon successful login.,FR
The user shall be able to search for a product by product ID/SKU or by keyword after selecting the search icon.,FR
The search feature will display either search results or a no matches found message depending on the query's success.,FR
The user shall be able to select a product from the search results and proceed to the product details page.,FR
"Upon successful login, the user shall be able to browse the catalogue, search for items, or navigate to the Videos and Contact Us sections.",FR
The user shall be able to download the catalogue PDF for viewing on their mobile device.,FR
"User shall be able to view a list of 360° videos after selecting the ""Videos"" option.",FR
User shall be able to play a selected 360° video on their device.,FR
User shall be able to zoom in on images using standard mobile gestures.,FR
User shall be able to navigate to the next product by swiping left to right.,FR
User shall be able to return to the product category page using the back button in the top corner.,FR
User shall be able to search for products by keyword or product ID.,FR
"User shall be able to access the Catalogue PDF, 360° videos, and contact a representative using the sub navigation icons.",NFR
"Users are not able to safely operate the device under certain conditions, such as while driving.",NFR
System shall be able to integrate with the internal system for user login and identification.,NFR
System shall be able to maintain data security.,NFR
System shall provide a data entry experience comparable to a desktop computer.,NFR
System shall be designed for mobile portability with minimal storage requirements and efficient performance.,NFR
User shall be able to receive an activation email upon filling all necessary registration fields.,FR
User shall be able to log in and start using the system after activating their account.,FR
User shall be able to log in to the system by entering their username/email and password.,FR
User shall be able to log out of the system by using the logout button.,FR
"User shall be able to search for items by price, location, or category.",FR
"User shall be able to browse other users profiles, including usernames, profile photos, and listed items.",FR
User shall be able to browse product categories and see the number of items in each category.,FR
"User shall be able to browse items and see their pictures, prices, and other features.",FR
"Users can enable email confirmation for username or password changes, requiring a click to finalize the update.",FR
User shall be able to purchase credits using a credit card or PayPal account.,FR
User shall be able to add items to their cart by selecting the Add to Cart button.,FR
User shall be able to add items to their cart by tapping the Add to Cart button.,FR
User shall be able to request an exchange for an available item by offering items they already have.,FR
User shall be able to approve an exchange offer from another user by clicking Approve.,FR
User shall be able to decline an exchange offer from another user by clicking Decline.,FR
User shall be notified when they initiate shipment of an item.,FR
User shall be able to add an unlimited number of items.,FR
"User shall be able to set the price, quantity, upload pictures, and add details when listing an item.",FR
"User shall be able to edit their listed items by adding/removing pictures, changing price, and modifying details.",FR
User shall be able to remove items from their listings by tapping Remove Item.,FR
User shall be able to permanently delete their profile and associated account details by clicking Delete Profile.,FR
User shall be able to mark an item as a favorite to receive notifications about changes to that item.,FR
User shall be able to rate and comment on users they have traded with.,FR
"The system shall be able to support 10,000 concurrent users.",NFR
System shall respond to user interactions within 2 seconds.,NFR
System shall display a search form on the home page.,FR
System shall include all relevant sites in its search engine index.,FR
System shall utilize the search form and indexed sites to deliver search results.,FR
Users shall be able to search for websites using the site name or description.,FR
System shall be able to provide auto-suggestions for search queries.,FR
System shall be able to display search results in descending order as a list of links.,FR
System shall be able to display a No results found message when no search results are found.,FR
System shall be able to include a link back to the home page when displaying No results found.,FR
 System shall be able to locate the user through a geolocation feature.,FR
System shall be able to utilize Geolocation scripts to determine the user's location.,FR
System shall be able to verify if the user is situated within a 1-mile radius of the campus.,FR
System shall be able to update the user's location if they are found to be within the 1-mile radius.,FR
System shall be able to request permission from the user to access their location services.,FR
System shall be able to redirect the user to the home screen if they decline to grant location services permission.,FR
System shall be able to create the user within the system if the user grants location services permission.,FR
System shall be able to display a failure message and return the user to the home page if it's unable to successfully update the location.,FR
System shall be able to update the page with links to nearby sites based on the user's location.,FR
System shall be able to construct an Ajax Response to update the home page with links to nearby sites.,FR
"System shall be able to provide a list of the 3 nearest sites, sorted alphabetically by name, with links to their respective pages.",FR
"System shall be able to present the sites on a map, marked with their names, descriptions, and links to their respective pages.",FR
"System shall be able to perform distance calculations and access geolocation information for the user, sites, and nearby sites.",FR
System shall be able to display a list of all sites sorted alphabetically (A-Z) by site name when user clicks a Browse Sites link on the homepage.,FR
System shall be able to collect and sort a list of all sites by name.,FR
System shall be able to build URLs for each sites page.,FR
System shall be able to display a campus map with all historical sites marked upon clicking a Map Sites link on the homepage.,FR
"System shall be able to place a marker for each historical site on the map, including the site name, a short description, and a link to the sites page.",FR
"System shall be able to display a list of thumbnail images for a site, sorted from oldest to newest by year, when on the sites page.",FR
System shall be able to return a no image message if no image is available for a site.,FR
System shall be able to replace the main site image and description with the corresponding ones from a clicked thumbnail image on the sites page.,FR
System shall be able to display an enlarged version of the main site image when the user clicks on it on the sites page.,FR
System shall be able to display a walking tour page when the user clicks a Walking Tour link.,FR
"System shall be able to display an ""About"" page when the user clicks an ""About"" link.",FR
System shall be able to operate without storing any personal user data.,FR
System shall be able to delete user location information nightly via a cron job.,FR
System shall require authorization for project admins before they can access the admin interface to manage project sites.,NFR
System shall implement standard web security measures.,NFR
"System shall be designed for easy extensibility, maintainability, and potential release as an open-source application.",NFR
System shall be deployable and operational in under one minute upon USB insertion.,NFR
